,,,,,,,,,,
Smoothening|Grayscale,Data,,Classifier,,,Results,,,,
,Dimensionality (PCA/L1),CV Folds,MinNumObj,NumFoldsPruning,Default - baseline,% Correct,kappa,Precision,Recall,F-measure
No|No,,10,2,5,,,,,,
No|No,,10,10,10,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,Default - baseline,,,,,
Yes|Yes,50(YY),10,2,5,,27.2209,0.1913,0.276,0.272,0.267
Yes|Yes,443(YN),10,2,5,,26.6748,0.1853,0.278,0.267,0.261
No|No,50(YY),10,2,5,,30.5461,0.2283,0.306,0.305,0.303
No|No,511(YN),10,2,5,,29.4539,0.2162,0.297,0.295,0.291
No|Yes,50(YY),10,2,5,,26.4078,0.1823,0.265,0.264,0.256
No|Yes,531(YN),10,2,5,,25.0971,0.1677,0.251,0.251,0.246
Yes|No,50(YY),10,2,5,,29.0413,0.2116,0.289,0.29,0.289
Yes|No,467(YN),10,2,5,,28.3252,0.2036,0.286,0.283,0.282
,,,,,,,,,,
,,,,,,,,,,
Yes|Yes,443(YN) + LDA,10,2,5,,34.3325,0.2704,0.342,0.343,0.342
No|Yes,531(YN) + LDA,10,2,5,,34.5874,0.2732,0.345,0.346,0.345
No|No,511(YN) + LDA,10,2,5,,44.9636,0.3885,0.451,0.45,0.449
Yes|No,467(YN) + LDA,10,2,5,,44.0898,0.3788,0.443,0.441,0.441
