,,,,,,,,,,
Smoothening|Grayscale,Data,,Classifier (KNN - IBk),,,Results,,,,
,Dimensionality (PCA/L1),CV Folds,Nearest Neighbours,,Default - baseline,% Correct,kappa,Precision,Recall,F-measure
No|No,80,10,,,,,,,,
No|No,80,10,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Yes|Yes,443(YN),10,30,,,11.3228,0.0147,0.063,0.113,0.04
Yes|Yes,50(YY),10,30,,,21.1893,0.1243,0.327,0.212,0.16
No|Yes,50(YY),10,30,,,21.5655,0.1285,0.346,0.216,0.164
No|Yes,531(YN),10,30,,,13.8471,0.0427,0.047,0.138,0.068
No|No,50(YY),10,30,,,32.4393,0.2493,0.413,0.324,0.28
No|No,511(YN),10,30,,,14.6966,0.0522,0.074,0.147,0.07
Yes|No,467(YN),10,30,,,12.9976,0.0333,0.077,0.13,0.062
Yes|No,50(YY),10,30,,,32.3908,0.2488,0.42,0.324,0.288
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Yes|Yes,443(YN) + LDA,10,30,,,39.0291,0.3225,0.4,0.39,0.392
No|Yes,531(YN) + LDA,10,30,,,40.5583,0.3395,0.417,0.406,0.407
No|No,511(YN) + LDA,10,30,,,50.5218,0.4502,0.51,0.505,0.505
Yes|No,467(YN) + LDA,10,30,,,49.7937,0.4422,0.504,0.498,0.498
