,,,,,,,,,,
Smoothening|Grayscale,Data,,Classifier,,,Results,,,,
,Dimensionality (PCA/L1),CV Folds,,,Default - baseline,% Correct,kappa,Precision,Recall,F-measure
No|No,80,10,,,,,,,,
No|No,80,10,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Yes|Yes,443(YN),10,,,,26.7233,0.1858,0.269,0.267,0.257
Yes|Yes,50(YY),10,,,,32.4636,0.2496,0.325,0.325,0.32
No|Yes,50(YY),10,,,,32.7063,0.2523,0.329,0.327,0.322
No|Yes,531(YN),10,,,Default - baseline,25.1942,0.1688,0.254,0.252,0.235
No|No,50(YY),10,,,,39.4417,0.3271,0.398,0.394,0.391
No|No,511(YN),10,,,,28.9563,0.2106,0.306,0.29,0.282
Yes|No,467(YN),10,,,,28.9442,0.2105,0.303,0.289,0.282
Yes|No,50(YY),10,,,,38.932,0.3215,0.391,0.389,0.385
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Yes|Yes,443(YN) + LDA,10,,,,41.2379,0.3471,0.416,0.412,0.412
No|Yes,531(YN) + LDA,10,,,,42.3908,0.3599,0.428,0.424,0.424
No|No,511(YN) + LDA,10,,,,51.7579,0.464,0.523,0.518,0.517
Yes|No,467(YN) + LDA,10,,,,50.3519,0.4484,0.51,0.504,0.504
