,,,,,,,,,,
Smoothening|Grayscale,Data,,Classifier,,,Results,,,,
,Dimensionality (PCA/L1),CV Folds,NumTrees,,Default - baseline,% Correct,kappa,Precision,Recall,F-measure
No|No,80,10,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
No|Yes,531(YN)  + LDA,10,100,,,40.182,0.3354,0.402,0.402,0.401
No|Yes,531(YN)  + LDA,10,300,,,40.4976,0.3389,0.405,0.405,0.404
No|Yes,531(YN)  + LDA,10,500,,,40.8495,0.3428,0.408,0.408,0.408
No|Yes,531(YN)  + LDA,10,1000,,,40.7524,0.3417,0.407,0.408,0.407
, ,,,,,,,,,
Yes|Yes,443(YN)  + LDA,10,100,,,39.6328,0.3292,0.396,0.396,0.396
Yes|Yes,443(YN)  + LDA,10,300,,,39.818,0.3313,0.398,0.398,0.398
Yes|Yes,443(YN)  + LDA,10,500,,,40.182,0.3354,0.401,0.402,0.401
Yes|Yes,443(YN)  + LDA,10,1000,,,39.7694,0.3308,0.397,0.398,0.397
, ,,,,,,,,,
No|No,511(YN)  + LDA,10,100,,,49.8058,0.4423,0.498,0.498,0.498
No|No,511(YN)  + LDA,10,300,,,50.267,0.4474,0.503,0.503,0.502
No|No,511(YN)  + LDA,10,500,,,50.5461,0.4505,0.506,0.505,0.505
No|No,511(YN)  + LDA,10,1000,,,50.5704,0.4508,0.506,0.506,0.505
, ,,,,,,,,,
Yes|No,467(YN)  + LDA,10,100,,,48.665,0.4296,0.487,0.487,0.486
Yes|No,467(YN)  + LDA,10,300,,,49.1626,0.4351,0.493,0.492,0.491
Yes|No,467(YN)  + LDA,10,500,,,49.1383,0.4349,0.492,0.491,0.491
Yes|No,467(YN)  + LDA,10,1000,,,49.2961,0.4366,0.494,0.493,0.493
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
, ,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
, ,,,,,,,,,
