,,,,,,,,,,
Smoothening|Grayscale,Data,,Classifier,,,Results,,,,
,Dimensionality (PCA/L1),CV Folds,NumTrees,,Default - baseline,% Correct,kappa,Precision,Recall,F-measure
No|No,80,10,,,,,,,,
No|No,80,10,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
No|Yes,531(YN),10,100,,Default - baseline,23.8471,0.1539,0.235,0.238,0.236
No|Yes,531(YN),10,300,,,28.3617,0.204,0.28,0.284,0.279
No|Yes,531(YN),10,500,,,30.6917,0.2299,0.301,0.307,0.299
,,,1000,,,32.5607,0.2507,0.322,0.326,0.316
Yes|Yes,443(YN),10,100,,,24.733,0.1637,0.246,0.247,0.246
Yes|Yes,443(YN),10,300,,,28.705,0.2078,0.282,0.287,0.282
Yes|Yes,443(YN),10,500,,,31.0922,0.2344,0.307,0.311,0.304
,,,1000,,,33.5073,0.2612,0.333,0.335,0.327
Yes|Yes,50(YY),10,100,,,34.0291,0.267,0.342,0.34,0.338
Yes|Yes,50(YY),10,300,,,36.3714,0.293,0.365,0.364,0.359
Yes|Yes,50(YY),10,500,,,37.051,0.3006,0.374,0.371,0.365
,,,1000,,,37.3301,0.3037,0.378,0.373,0.368
No|Yes,50(YY),10,100,,,34.7937,0.2755,0.349,0.348,0.345
No|Yes,50(YY),10,300,,,36.9715,0.2991,0.37,0.369,0.363
No|Yes,50(YY),10,500,,,37.6092,0.3068,0.379,0.376,0.37
,,,1000,,,38.1553,0.3128,0.384,0.382,0.375
,,,,,,,,,,
No|No,50(YY),10,100,,,43.3374,0.3704,0.433,0.433,0.43
No|No,50(YY),10,300,,,45.6675,0.3963,0.459,0.457,0.453
No|No,50(YY),10,500,,,46.25,0.4028,0.46656,0.463,0.458
,,,1000,,,46.2379,0.4026,0.465,0.462,0.458
No|No,511(YN),10,100,,,29.4296,0.2159,0.291,0.294,0.292
No|No,511(YN),10,300,,,35.983,0.2887,0.356,0.36,0.355
No|No,511(YN),10,500,,,38.0947,0.3122,0.377,0.381,0.375
No|No,511(YN),10,1000,,,41.2379,0.3471,0.41,0.412,0.405
Yes|No,50(YY),10,100,,,42.949,0.3661,0.428,0.429,0.425
Yes|No,50(YY),10,300,,,45.5218,0.3947,0.457,0.455,0.451
Yes|No,50(YY),10,500,,,45.983,0.3988,0.461,0.46,0.454
,,,1000,,,46.6383,0.4071,0.469,0.466,0.461
Yes|No,467(YN),10,100,,,30,0.2222,0.296,0.3,0.296
Yes|No,467(YN),10,300,,,36.0316,0.2892,0.356,0.36,0.354
Yes|No,467(YN),10,500,,,39.017,0.3224,0.387,0.39,0.383
,,,1000,,,41.4684,0.3496,0.412,0.415,0.406
